Flight No.,Date and time ( UTC ),"Version, Booster   ",Launch site,Payload ,Payload mass,Orbit,Customer,Launch outcome,Booster landing,1,2,3,4,5,6,7,Payload,Version Booster,Date,Time
53,,,"CCAFS,SLC-40",,362,HEO for P/2 orbit,NASA (LSP),Success[306],Success,,,,,,,,Transiting Exoplanet Survey Satellite (TESS)[304],F9 B4[,18 April 2018,22:51
54,,,"KSC,LC-39A",,3600,GTO,Thales-Alenia / BTRC,Success[315],Success,,,,,,,,Bangabandhu-1[312][313],F9 B5311B1046.1268,11 May 2018,20:14
55,,,"VAFB,SLC-4E",,6460,Polar LEO,"Iridium Communications
GFZ • NASA",Success[327],No attempt,,,,,,,,"Iridium NEXT-6(5 satellites)[152][155]
GRACE-FO × 2[323][324]",F9 B4B1043.2322,22 May 2018,19:47
56,,,"CCAFS,SLC-40",,5384,GTO,SES,Success[333],No attempt,,,,,,,,SES-12[331],F9 B4B1040.2268,4 June 2018,04:45
57,,,"CCAFS,SLC-40",,2697,LEO (ISS),NASA (CRS),Success[338],No attempt,,,,,,,,SpaceX CRS-15(Dragon C111.2 ♺),F9 B4B1045.2336,29 June 2018,09:42
58,,,"CCAFS,SLC-40",,7075,GTO[343],Telesat,Success[344],Success,,,,,,,,Telstar 19V[341],F9 B5,22 July 2018,05:50
59,,,"VAFB,SLC-4E",,9600,Polar LEO,Iridium Communications,Success[351],Success,,,,,,,,Iridium NEXT-7(10 satellites)[152],F9 B5349B1048[,25 July 2018,11:39
60,,,"CCAFS,SLC-40",,5800,GTO,Telkom Indonesia,Success[358],Success,,,,,,,,Merah Putih (formerly Telkom 4)[355][356],F9 B5B1046.2354,7 August 2018,05:18
61,,,"CCAFS,SLC-40",,7060,GTO[361],Telesat,Success[361],Success,,,,,,,,Telstar 18V / Apstar-5C[341],F9 B5[,10 September 2018,04:45
62,,,"VAFB,SLC-4E",,3000,SSO,CONAE,Success[363],Success,,,,,,,,SAOCOM 1A[365][366],F9 B5B1048.2364,8 October 2018,02:22
63,,,"KSC,LC-39A",,5300,GTO,Es'hailSat,Success[370],Success,,,,,,,,Es'hail 2[368],F9 B5B1047.2268,15 November 2018,20:46
64,,,"VAFB,SLC-4E",,4000,SSO,Spaceflight Industries,Success[373],Success,,,,,,,,SSO-A (SmallSat Express),F9 B5B1046.3268,3 December 2018,18:34:05
65,,,"CCAFS,SLC-40",,2500,LEO (ISS),NASA (CRS),Success,Failure,,,,,,,,SpaceX CRS-16(Dragon C112.2♺ ),F9 B5[,5 December 2018,18:16
66,,,"CCAFS,SLC-40",,4400,MEO,USAF,Success[386],No attempt,,,,,,,,GPS III-01 (Vespucci),F9 B5[,23 December 2018,13:51
67,,,"VAFB,SLC-4E",,9600,Polar LEO,Iridium Communications,Success,Success,,,,,,,,Iridium NEXT-8(10 satellites)[152],F9 B5B1049.2397,11 January 2019,15:31
68,,,"CCAFS,SLC-40",,4850,GTO,"PSN
SpaceIL / IAI
Air Force Research",Success,Success,,,,,,,,"Nusantara Satu (PSN-6)[400]
Beresheet Moon lander[401]
S5[402]",F9 B5B1048.3399,22 February 2019,01:45
69,,,"KSC,LC-39A",,12055,LEO (ISS),NASA (CCD),Success,Success,,,,,,,,Crew Dragon Demo-1[414](Dragon C201),F9 B5[]413,2 March 2019,07:49
70,,,"CCAFS,SLC-40",,2495,LEO (ISS),NASA (CRS),Success,Success,,,,,,,,SpaceX CRS-17[141](Dragon C113.2 ♺),F9 B5[,4 May 2019,06:48
71,,,"CCAFS,SLC-40",,13620,LEO,SpaceX,Success,Success,,,,,,,,Starlink v0.9 (60 satellites),F9 B5B1049.3434,24 May 2019,02:30
72,,,"VAFB,SLC-4E",,4200,SSO,Canadian Space Agency (CSA),Success,Success,,,,,,,,RADARSAT Constellation(3 satellites),F9 B5B1051.2420,12 June 2019,14:17
73,,,CCAFSSLC-40,,2268,LEO (ISS),NASA (CRS),Success,Success,,,,,,,,SpaceX CRS-18[141](Dragon C108.3 ♺),F9 B5B1056.2465,25 July 2019,22:01
74,,,"CCAFS,SLC-40",,6500,GTO,Spacecom,Success,No attempt,,,,,,,,AMOS-17[473],F9 B5B1047.3472,6 August 2019,23:23
75,,,"CCAFS,SLC-40",,15600,LEO,SpaceX,Success,Success,,,,,,,,Starlink 1 v1.0 (60 satellites),F9 B5,11 November 2019,14:56
76,,,"CCAFS,SLC-40",,2617,LEO (ISS),NASA (CRS),Success,Success,,,,,,,,SpaceX CRS-19[483](Dragon C106.3 ♺),F9 B5[,5 December 2019,17:29
77,,,"CCAFS,SLC-40",,6956,GTO,Sky Perfect JSATKacific 1,Success,Success,,,,,,,,JCSat-18 / Kacific 1[487],F9 B5B1056.3482,17 December 2019,00:10
78,,,"CCAFS,SLC-40",,15600,LEO,SpaceX,Success,Success,,,,,,,,Starlink 2 v1.0 (60 satellites),F9 B5,7 January 2020,02:19:21
79,,,"KSC,LC-39A",,12050,Sub-orbital[496],NASA (CTS)[497],Success,"No attempt
",,,,,,,,Crew Dragon in-flight abort test[495](Dragon C205.1),F9 B5,19 January 2020,15:30
80,,,"CCAFS,SLC-40",,15600,LEO,SpaceX,Success,Success,,,,,,,,Starlink 3 v1.0 (60 satellites),F9 B5,29 January 2020,14:07
81,,,"CCAFS,SLC-40",,15600,LEO,SpaceX,Success,Failure,,,,,,,,Starlink 4 v1.0 (60 satellites),F9 B5,17 February 2020,15:05
82,,,"CCAFS,SLC-40",,1977,LEO (ISS),NASA (CRS),Success,Success,,,,,,,,SpaceX CRS-20(Dragon C112.3 ♺),F9 B5,7 March 2020,04:50
83,,,"KSC,LC-39A",,15600,LEO,SpaceX,Success,Failure,,,,,,,,Starlink 5 v1.0 (60 satellites),F9 B5,18 March 2020,12:16
84,,,"KSC,LC-39A",,15600,LEO,SpaceX,Success,Success,,,,,,,,Starlink 6 v1.0 (60 satellites),F9 B5,22 April 2020,19:30
85,,,"KSC,LC-39A",,12530,LEO (ISS),NASA (CCDev),Success,Success,,,,,,,,Crew Dragon Demo-2[414](Crew Dragon C206.1 Endeavour),F9 B5[,30 May 2020,19:22
86,,,"CCAFS,SLC-40",,15600,LEO,SpaceX,Success,Success,,,,,,,,Starlink 7 v1.0 (60 satellites),F9 B5,4 June 2020,01:25
87,,,"CCAFS,SLC-40",,15410,LEO,SpaceXPlanet Labs,Success,Success,,,,,,,,"Starlink 8 v1.0 (58 satellites),[524][525]SkySats-16, -17, -18",F9 B5,13 June 2020,09:21
88,,,"CCAFS,SLC-40",,4311,MEO,U.S. Space Force[530],Success,Success,,,,,,,,GPS III-03 (Matthew Henson),F9 B5,30 June 2020,20:10:46
89,,,"CCAFS,SLC-40",,5000,GTO,Republic of Korea Army,Success,Success,,,,,,,,ANASIS-II,F9 B5B1058.2544,20 July 2020,21:30
90,,,"KSC,LC-39A",,14932,LEO,SpaceXSpaceflight Industries (BlackSky),Success,Success,,,,,,,,"Starlink 9 v1.0 (57 Satellites),[524]SXRS-1 (BlackSky Global 7 and 8)",F9 B5,7 August 2020,05:12
91,,,"CCAFS,SLC-40",,15440,LEO,SpaceXPlanet Labs,Success,Success,,,,,,,,"Starlink 10 v1.0 (58 satellites)SkySat-19, -20, -21",F9 B5B1049.6544,18 August 2020,14:31
92,,,"CCAFS,SLC-40",,3130,SSO,CONAEPlanetIQTyvak,Success,Success,,,,,,,,SAOCOM 1B[556]GNOMES 1[556]Tyvak-0172[557],F9 B5,30 August 2020,23:18
93,,,"KSC,LC-39A",,15600,LEO,SpaceX,Success,Success,,,,,,,,Starlink 11 v1.0 (60 satellites),F9 B5B1060.2563,3 September 2020,12:46:14
94,,,"KSC,LC-39A",,15600,LEO,SpaceX,Success,Success,,,,,,,,Starlink 12 v1.0 (60 satellites),F9 B5B1058.3565,6 October 2020,11:29:34
95,,,"KSC,LC-39A",,15600,LEO,SpaceX,Success,Success,,,,,,,,Starlink 13 v1.0 (60 satellites),F9 B5B1051.6568,18 October 2020,12:25:57
96,,,"CCAFS,SLC-40",,15600,LEO,SpaceX,Success,Success,,,,,,,,Starlink 14 v1.0 (60 satellites),F9 B5,24 October 2020,15:31:34
97,,,"CCAFS,SLC-40",,4311,MEO,USSF,Success,Success,,,,,,,,GPS III-04 (Sacagawea)[541][573],F9 B5,5 November 2020,23:24:23
98,,,"KSC,LC-39A",,12500,LEO (ISS),NASA (CCP)[497],Success,Success,,,,,,,,Crew-1(Crew Dragon C207.1 Resilience),F9 B5[,16 November 2020,00:27
99,,,"VAFB,SLC-4E",,1192,LEO,NASA / NOAA / ESA / EUMETSAT,Success,Success,,,,,,,,Sentinel-6 Michael Freilich (Jason-CS A),F9 B5,21 November 2020,17:17:08
100,,,"CCAFS,SLC-40",,15600,LEO,SpaceX,Success,Success,,,,,,,,Starlink 15 v1.0 (60 satellites),F9 B5 ♺[,25 November 2020,02:13
101,,,"KSC,LC-39A",,2972,LEO (ISS),NASA (CRS),Success,Success,,,,,,,,SpaceX CRS-21(Dragon C208.1),F9 B5 ♺[,6 December 2020,16:17:08
102,,,"CCSFS,SLC-40[597]",,7000,GTO,Sirius XM,Success,Success,,,,,,,,SXM-7,F9 B5 ♺,13 December 2020,17:30:00
103,,,"KSC,LC-39A",,,LEO,NRO,Success,Success,,,,,,,,NROL-108,F9 B5 ♺,19 December 2020,14:00:00
104,,,"CCSFS,SLC-40",,3500,GTO,Türksat,Success,Success,,,,,,,,Türksat 5A[605],F9 B5,8 January 2021,02:15
105,,,"KSC,LC-39A",,15600,LEO,SpaceX,Success,Success,,,,,,,,Starlink 16 v1.0 (60 satellites),F9 B5B1051.8609,20 January 2021,13:02
106,,,"CCSFS,SLC-40",,5000,SSO,Various,Success,Success,,,,,,,,Transporter-1 (143 smallsat rideshare),F9 B5B1058.5613,24 January 2021,15:00
107,,,"CCSFS,SLC-40",,15600,LEO,SpaceX,Success,Success,,,,,,,,Starlink 18 v1.0 (60 satellites),F9 B5 ♺[,4 February 2021,06:19
108,,,"CCSFS,SLC-40",,15600,LEO,SpaceX,Success,Failure,,,,,,,,Starlink 19 v1.0 (60 satellites)[627],F9 B5 ♺,16 February 2021,03:59:37
109,,,"KSC,LC-39A",,15600,LEO,SpaceX,Success,Success,,,,,,,,Starlink 17 v1.0 (60 satellites),F9 B5 ♺[,4 March 2021,08:24
110,,,"CCSFS,SLC-40",,15600,LEO,SpaceX,Success,Success,,,,,,,,Starlink 20 v1.0 (60 satellites),F9 B5 ♺[,11 March 2021,08:13:29
111,,,"KSC,LC-39A",,15600,LEO,SpaceX,Success,Success,,,,,,,,Starlink 21 v1.0 (60 satellites),F9 B5 ♺,14 March 2021,10:01
112,,,"CCSFS,SLC-40",,15600,LEO,SpaceX,Success,Success,,,,,,,,Starlink 22 v1.0 (60 satellites),F9 B5B1060.6643,24 March 2021,08:28
113,,,"CCSFS,SLC-40",,15600,LEO,SpaceX,Success,Success,,,,,,,,Starlink 23 v1.0 (60 satellites),F9 B5 ♺,7 April 2021,16:34
114,,,"KSC,LC-39A",,13000,LEO (ISS),NASA (CTS)[497],Success,Success,,,,,,,,Crew-2(Crew Dragon C206.2 Endeavour ♺),F9 B5B1061.2647,23 April 2021,9:49
115,,,"CCSFS,SLC-40",,15600,LEO,SpaceX,Success,Success,,,,,,,,Starlink 24 v1.0 (60 satellites),F9 B5B1060.7652,29 April 2021,03:44
116,,,"KSC,LC-39A",,15600,LEO,SpaceX,Success,Success,,,,,,,,Starlink 25 v1.0 (60 satellites),F9 B5B1049.9655,4 May 2021,19:01
117,,,"CCSFS,SLC-40",,15600,LEO,SpaceX,Success,Success,,,,,,,,Starlink 27 v1.0 (60 satellites),F9 B5B1051.10657,9 May 2021,06:42
118,,,"KSC,LC-39A[661]",,14000,LEO,SpaceX Capella Space and Tyvak,Success,Success,,,,,,,,Starlink 26 v1.0 (52 Satellites) Capella-6 &Tyvak-0130[662],F9 B5B1058.8660,15 May 2021,22:56
119,,,"CCSFS,SLC-40[665]",,15600,LEO,SpaceX,Success,Success,,,,,,,,Starlink 28 v1.0 (60 Satellites)[665],F9 B5B1063.2665,26 May 2021,18:59
120,,,"KSC,LC-39A",,3328,LEO (ISS),NASA (CRS),Success,Success,,,,,,,,SpaceX CRS-22(Dragon C209.1),F9 B5B1067.1668,3 June 2021,17:29
121,,,"CCSFS,SLC-40",,7000,GTO,Sirius XM,Success,Success,,,,,,,,SXM-8[674],F9 B5,6 June 2021,04:26
